CODE,Control/Intervention,Grade in Course,Class Year,Gender,Race/Ethnicity,Fall 2017 GPA,Chem 126 Grade,Pell 2017-18,Pell 2018-19,SQA (1-7),SQB,SQC,SQD,First Generation?,1st Sem GPA (excl Chem),ACT Comp,ACT English,ACT Reading,ACT Math,ACT Science,ACT Writing,SAT Com,SAT Math,SAT Verbal,SAT Writing,New SAT Com,New SAT Math,New SAT Verbal,New SAT R/W,New SAT Writing,Chem 123 Interim?,Course
17893,C,2.3,2021,M,Multiracial,2.97,C+,YES Pell,YES Pell,6,6,7,2,N,3.2,31,31,35,28,32,24,1160,560,600,630,,,,,,NA,125
17897,C,3,2021,M,White,3.04,None,NO Pell,NO Pell,4,4,4,4,N,3.05,31,29,30,31,35,10,,,,,,,,,,NA,125
17899,C,3,2021,F,Asian,3.52,B+,NO Pell,NO Pell,6,7,6,2,N,3.69,30,23,32,31,34,,,,,,,,,,,NA,125
17104,I,2,2021,M,White,2.75,C,NO Pell,NO Pell,NA,NA,NA,NA,N,3,32,32,35,26,35,,,,,,,,,,,Y,121
17118,C,3,2019,M,White,3.58,None,NO Pell,NO Pell,7,6,7,3,N,3.75,29,33,31,28,25,7,,,,,,,,,,N,121
17121,I,3,2021,F,White,3.57,None,NO Pell,NO Pell,4,4,4,2,N,3.76,22,21,24,24,21,,,,,,,,,,,Y,121
17140,C,4,2021,M,White,3.65,B+,NO Pell,NO Pell,NA,NA,NA,NA,N,3.53,28,26,26,29,33,9,,,,,,,,,,Y,121
17142,C,3.7,2018,F,NRA,3.85,None,NO Pell,NO Pell,3,7,6,4,Y,3.9,,,,,,,1310,770,540,610,,,,,,N,121
17163,C,3.7,2021,F,Hispanic,3.32,C+,YES Pell,YES Pell,NA,NA,NA,NA,N,3.2,22,26,23,20,22,8,,,,,,,,,,Y,121
17166,C,2.3,2021,F,Asian,3,None,YES Pell,YES Pell,5,5,6,2,N,3.23,30,35,28,26,29,7,,,,,,,,,,Y,121
17178,I,3,2021,F,Hispanic,3.25,None,YES Pell,YES Pell,6,7,7,4,Y,3.33,25,26,27,27,20,8,,,,,,,,,,Y,121
17183,I,3,2021,F,White,3.5,B-,NO Pell,NO Pell,NA,NA,NA,NA,N,3.66,26,26,29,26,24,,,,,,,,,,,Y,121
17217,C,3.7,2021,F,White,3.85,B+,NO Pell,NO Pell,4,5,6,5,N,3.9,31,31,34,31,27,,,,,,,,,,,Y,121
17222,C,2,2021,M,White,2.75,WP,NO Pell,NO Pell,7,7,7,5.5,Y,3,32,32,31,29,34,6,,,,,,,,,,Y,121
17225,I,2.3,2020,M,White,2.75,None,YES Pell,YES Pell,6,6,6,5,N,2.9,,,,,,,1150,610,540,660,,,,,,Y,121
17237,C,2,2021,F,Hispanic,2.5,WP,YES Pell,YES Pell,4,7,5,4,Y,2.66,21,26,19,22,21,,,,,,,,,,,Y,121
17241,C,3,2021,F,White,3,C-,NO Pell,NO Pell,NA,NA,NA,NA,N,3,23,28,21,21,22,7,,,,,,,,,,Y,121
17250,C,2.3,2021,M,White,2.85,C-,NO Pell,NO Pell,5,7,6,3,N,3.03,28,31,29,24,28,8,,,,,,,,,,Y,121
17251,I,2,2021,F,Asian,2.5,C-,NO Pell,NO Pell,NA,NA,NA,NA,N,2.66,22,22,21,22,24,,,,,,,,,,,Y,121
17252,I,1.7,2021,M,Asian,2.77,None,YES Pell,YES Pell,NA,NA,NA,NA,Y,3.13,28,27,34,25,28,8,,,,,,,,,,N,121
17260,I,2.7,2020,M,NRA,3.42,None,NO Pell,NO Pell,4,4,5,5,N,3.66,,,,,,,1190,780,410,510,,,,,,N,121
17262,C,2.3,2021,F,Asian,2.47,None,NO Pell,NO Pell,5,5,6,3,N,2.53,21,16,23,21,22,,,,,,,,,,,Y,121
17266,C,2,2020,M,Asian,2.32,D,YES Pell,YES Pell,5,7,7,3,N,2.43,27,23,32,26,27,8,,,,,,,,,,Y,121
17267,I,4,2021,F,Asian,3.42,C,NO Pell,NO Pell,NA,NA,NA,NA,Y,3.23,23,25,21,23,22,,,,,,,,,,,Y,121
17278,C,4,2021,M,Black or African American,3.43,B+,YES Pell,YES Pell,6,6,6,2,Y,3.26,26,23,24,28,28,7,,,,,,,,,,Y,121
17285,C,2.3,2021,F,White,3.22,B,NO Pell,NO Pell,NA,NA,NA,NA,Y,3.53,32,29,31,31,35,,,,,,,,,,,Y,121
17293,C,1.7,2021,F,White,2.45,D,YES Pell,YES Pell,5,6,5,3,N,2.7,22,23,20,20,23,,,,,,,,,,,Y,121
17297,I,3,2021,F,White,3.25,C-,NO Pell,NO Pell,5,5,5,6,Y,3.33,28,28,30,30,26,,,,,,,,,,,Y,121
17299,I,2,2021,F,White,2.89,None,NO Pell,NO Pell,5,5,6,1,N,3.16,,,,,,,,,,,1300,630,670,,35,N,121
17340,I,3.7,2021,F,White,3.32,B,YES Pell,YES Pell,NA,NA,NA,NA,N,3.2,25,24,29,25,24,,1110,530,580,510,,,,,,Y,121
17346,C,2.3,2021,F,White,3,C-,NO Pell,NO Pell,6,6,6,2,N,3.23,27,25,31,26,24,,,,,,,,,,,Y,121
17375,I,2.7,2021,F,White,3.42,C+,NO Pell,NO Pell,5,6,5,4,N,3.66,26,27,22,26,27,8,,,,,,,,,,Y,121
17378,I,3,2021,F,White,3,C-,YES Pell,YES Pell,NA,NA,NA,NA,Y,3,27,27,28,24,27,,,,,,,,,,,Y,121
